                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0255,                 5.0995,                 2.0734,                0.84533,                0.70372,                0.80059,                0.55231,                  1.481,                  1.931,                 1.8549,             0.00023689,             0.00023689,             0.00023689
                      2,                  1.952,                 2.6503,                 2.0363,                0.81616,                0.76594,                0.80924,                0.58537,                 1.5367,                0.93537,                 1.8685,             0.00046549,             0.00046549,             0.00046549
                      3,                 1.9001,                 1.7992,                 2.0352,                0.87193,                0.87451,                0.89657,                0.63277,                 1.4913,                0.78436,                 1.8565,             0.00068466,             0.00068466,             0.00068466
                      4,                 1.9352,                 1.4438,                 2.0541,                0.89249,                0.79201,                0.87535,                0.65765,                 1.3655,                0.75995,                 1.8191,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.8995,                 1.2237,                 2.0502,                0.93144,                0.82157,                0.90143,                0.63325,                 1.5106,                0.64252,                 1.8705,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.8226,                 1.1108,                 2.0297,                0.84252,                0.83605,                0.87986,                0.64969,                 1.4914,                0.63859,                 1.8504,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.8405,                 1.0874,                 2.0381,                0.89384,                0.84493,                0.89899,                0.65615,                 1.4296,                0.70393,                  1.834,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.7993,                 1.0215,                 2.0238,                0.95113,                0.90545,                0.92569,                0.65526,                 1.3945,                0.58831,                 1.8338,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.7808,                0.99131,                 2.0243,                0.89398,                0.86078,                0.88172,                0.65558,                 1.3035,                0.60641,                 1.8064,              0.0006009,              0.0006009,              0.0006009
                     10,                  1.771,                0.97407,                 2.0107,                 0.9478,                0.85541,                0.92486,                0.65158,                 1.3812,                0.58576,                 1.8273,             0.00058677,             0.00058677,             0.00058677
                     11,                 1.7256,                0.93923,                 1.9958,                 0.9087,                0.98039,                0.94908,                0.64706,                 1.4341,                 0.5402,                 1.8416,             0.00057263,             0.00057263,             0.00057263
                     12,                 1.7264,                0.92125,                 1.9935,                0.93489,                0.92237,                0.94465,                0.67137,                 1.3645,                 0.5348,                 1.8231,             0.00055849,             0.00055849,             0.00055849
                     13,                 1.7347,                0.91922,                 2.0082,                0.91434,                0.90376,                0.94338,                0.66588,                 1.3517,                0.51639,                 1.8119,             0.00054435,             0.00054435,             0.00054435
                     14,                 1.7063,                0.86699,                 1.9873,                0.91779,                0.94543,                0.94584,                0.65482,                 1.4408,                0.53756,                  1.851,             0.00053022,             0.00053022,             0.00053022
