epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6779,1.8805,6.2302,2.05626,0.00497,1,0.62879,0.50815,1.33324,6.97023,1.69913,0.000231737,0.000231737,0.000231737
2,54.7664,1.62662,3.91829,1.90459,0.98073,0.5149,0.90538,0.71046,1.5458,5.65197,1.76261,0.000460436,0.000460436,0.000460436
3,73.4314,1.55588,3.33449,1.90407,0.86784,0.53153,0.74831,0.54138,1.82469,5.34333,1.8986,0.00067971,0.00067971,0.00067971
4,92.618,1.64455,2.9024,1.92245,0.9173,0.914,0.96156,0.76079,1.59884,2.10244,1.79459,0.000671588,0.000671588,0.000671588
5,111.339,1.58317,2.4006,1.88689,0.88861,0.94266,0.95865,0.76745,1.51286,1.56942,1.75678,0.000657451,0.000657451,0.000657451
6,130.697,1.52707,2.08568,1.90046,0.91424,0.93255,0.97275,0.79551,1.47428,1.24783,1.77786,0.000643314,0.000643314,0.000643314
7,149.908,1.55541,1.89214,1.91106,0.91652,0.92917,0.9718,0.77762,1.54227,1.31237,1.79288,0.000629177,0.000629177,0.000629177
8,168.552,1.50972,1.70235,1.88939,0.90975,0.91568,0.96439,0.77311,1.53904,1.14928,1.8212,0.00061504,0.00061504,0.00061504
9,187.87,1.4932,1.54185,1.90195,0.95095,0.91551,0.983,0.80628,1.47331,0.89786,1.76858,0.000600902,0.000600902,0.000600902
10,206.866,1.53216,1.45371,1.92901,0.93892,0.94604,0.9758,0.79272,1.46587,0.84552,1.77792,0.000586765,0.000586765,0.000586765
11,226.107,1.50726,1.39032,1.91068,0.90804,0.90725,0.97403,0.78769,1.49049,0.80831,1.86287,0.000572628,0.000572628,0.000572628
12,245.137,1.43986,1.19585,1.87191,0.95913,0.94979,0.98489,0.7951,1.47781,0.72681,1.81574,0.000558491,0.000558491,0.000558491
13,263.824,1.45324,1.17046,1.89591,0.93748,0.96083,0.9794,0.79377,1.46146,0.73561,1.81881,0.000544354,0.000544354,0.000544354
14,282.886,1.4212,1.1118,1.87644,0.92082,0.93761,0.9705,0.79018,1.45324,0.75573,1.86711,0.000530216,0.000530216,0.000530216
15,301.364,1.42834,1.10265,1.90358,0.95183,0.94772,0.98455,0.80879,1.44305,0.68514,1.84028,0.000516079,0.000516079,0.000516079
16,320.418,1.43429,1.02919,1.87265,0.94561,0.94941,0.98304,0.81064,1.44035,0.72675,1.83164,0.000501942,0.000501942,0.000501942
17,339.016,1.43739,1.02289,1.88841,0.92893,0.94781,0.9797,0.81027,1.41127,0.71432,1.80654,0.000487805,0.000487805,0.000487805
18,357.915,1.37633,0.97234,1.86278,0.92988,0.92243,0.97803,0.80861,1.40791,0.74744,1.8555,0.000473668,0.000473668,0.000473668
19,377.129,1.42334,0.94706,1.89918,0.93809,0.97106,0.98218,0.80837,1.43079,0.65509,1.86422,0.00045953,0.00045953,0.00045953
20,395.965,1.34652,0.89564,1.86251,0.95373,0.97332,0.9861,0.81896,1.40907,0.63291,1.88089,0.000445393,0.000445393,0.000445393
21,415.079,1.42293,0.90592,1.89273,0.93111,0.98011,0.9845,0.81843,1.37683,0.63919,1.82705,0.000431256,0.000431256,0.000431256
22,433.435,1.36467,0.85502,1.87123,0.94271,0.9747,0.98637,0.80059,1.51839,0.64804,1.93994,0.000417119,0.000417119,0.000417119
23,452.177,1.32153,0.80049,1.85067,0.96446,0.96096,0.98984,0.81778,1.42303,0.60891,1.81313,0.000402982,0.000402982,0.000402982
24,470.963,1.34663,0.82815,1.86729,0.93711,0.97998,0.98342,0.8224,1.39512,0.62415,1.84543,0.000388844,0.000388844,0.000388844
25,489.286,1.36196,0.82283,1.88301,0.93381,0.94941,0.98094,0.8011,1.47591,0.68801,1.98744,0.000374707,0.000374707,0.000374707
26,508.471,1.34143,0.79726,1.86431,0.95649,0.96394,0.98442,0.81985,1.38294,0.62441,1.87695,0.00036057,0.00036057,0.00036057
27,526.957,1.34119,0.80212,1.88243,0.96293,0.96372,0.98817,0.82515,1.36359,0.6101,1.82926,0.000346433,0.000346433,0.000346433
28,546.139,1.33831,0.7687,1.86405,0.95313,0.96021,0.986,0.8234,1.356,0.61396,1.80953,0.000332296,0.000332296,0.000332296
29,564.82,1.33072,0.7683,1.84884,0.96274,0.95846,0.98835,0.83198,1.35978,0.59092,1.81013,0.000318158,0.000318158,0.000318158
30,583.496,1.30685,0.76975,1.87549,0.95676,0.97014,0.98943,0.82361,1.35965,0.58709,1.88788,0.000304021,0.000304021,0.000304021
31,602.505,1.29607,0.75191,1.87231,0.96171,0.96965,0.98899,0.82919,1.35263,0.5854,1.86202,0.000289884,0.000289884,0.000289884
32,620.805,1.29183,0.74015,1.85619,0.97596,0.95832,0.98926,0.82947,1.34503,0.55464,1.80093,0.000275747,0.000275747,0.000275747
33,639.632,1.28516,0.6929,1.83249,0.95522,0.97113,0.98541,0.82649,1.35198,0.5829,1.78015,0.00026161,0.00026161,0.00026161
34,658.051,1.27715,0.742,1.84247,0.96635,0.95784,0.98799,0.82582,1.38103,0.59874,1.77716,0.000247472,0.000247472,0.000247472
35,676.906,1.27414,0.6997,1.84079,0.95818,0.96582,0.98687,0.83233,1.33237,0.58816,1.84631,0.000233335,0.000233335,0.000233335
36,695.793,1.27744,0.70702,1.83841,0.96766,0.96121,0.98819,0.82808,1.35048,0.5766,1.88371,0.000219198,0.000219198,0.000219198
37,714.047,1.24686,0.667,1.8413,0.96484,0.96459,0.98896,0.83024,1.34701,0.55709,1.85769,0.000205061,0.000205061,0.000205061
38,732.967,1.23918,0.67707,1.83914,0.9648,0.97133,0.98738,0.8256,1.37526,0.5658,1.8344,0.000190924,0.000190924,0.000190924
39,751.271,1.23502,0.65351,1.8368,0.95858,0.98482,0.99081,0.83684,1.33501,0.54129,1.78986,0.000176786,0.000176786,0.000176786
40,770.237,1.15097,0.62075,1.7846,0.97899,0.96121,0.99002,0.84136,1.32556,0.5358,1.77238,0.000162649,0.000162649,0.000162649
41,791.122,1.15098,0.63494,1.75515,0.96962,0.9687,0.98804,0.82976,1.35338,0.54394,1.81309,0.000148512,0.000148512,0.000148512
42,809.485,1.1401,0.58636,1.74368,0.96193,0.96459,0.98844,0.83592,1.31172,0.55534,1.77854,0.000134375,0.000134375,0.000134375
43,828.24,1.12047,0.56373,1.75138,0.96654,0.97414,0.99052,0.83542,1.32623,0.54224,1.78789,0.000120238,0.000120238,0.000120238
44,846.461,1.10187,0.56457,1.72909,0.97946,0.96516,0.9866,0.82352,1.38572,0.53748,1.78991,0.0001061,0.0001061,0.0001061
45,865.045,1.10122,0.56126,1.72035,0.98963,0.96578,0.99073,0.84104,1.3109,0.50983,1.75503,9.19632e-05,9.19632e-05,9.19632e-05
46,883.159,1.12754,0.56326,1.7416,0.96653,0.97808,0.98994,0.83647,1.33722,0.53203,1.80187,7.7826e-05,7.7826e-05,7.7826e-05
47,901.716,1.09331,0.55054,1.73234,0.96377,0.98145,0.99025,0.83807,1.32494,0.53441,1.77843,6.36888e-05,6.36888e-05,6.36888e-05
48,920.078,1.08383,0.54165,1.71906,0.98433,0.9629,0.99093,0.84012,1.30878,0.51,1.77754,4.95516e-05,4.95516e-05,4.95516e-05
49,939.388,1.08114,0.52405,1.72385,0.97639,0.97619,0.99121,0.83895,1.30611,0.50356,1.75873,3.54144e-05,3.54144e-05,3.54144e-05
50,958.62,1.0793,0.52284,1.73497,0.97351,0.96459,0.99036,0.83924,1.30471,0.50646,1.76768,2.12772e-05,2.12772e-05,2.12772e-05
