epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8262,1.3434,3.03544,1.23118,1,0.04585,0.5566,0.36544,1.1164,3.0053,1.08214,0.000233042,0.000233042,0.000233042
2,66.649,1.22916,1.67099,1.14819,0.91111,0.49108,0.67593,0.45978,1.16162,2.36814,1.16932,0.00046871,0.00046871,0.00046871
3,97.2418,1.17272,1.46352,1.10851,0.74589,0.61406,0.67955,0.44646,1.25712,1.80304,1.22928,0.000702022,0.000702022,0.000702022
4,127.801,1.19387,1.33857,1.13073,0.80222,0.68382,0.74249,0.48973,1.19124,1.3247,1.21822,0.000703397,0.000703397,0.000703397
5,158.376,1.11135,1.23436,1.10624,0.77379,0.7436,0.78401,0.5128,1.17498,1.15914,1.18458,0.000699863,0.000699863,0.000699863
6,188.802,1.15021,1.14864,1.10805,0.8083,0.7414,0.78902,0.5166,1.15968,0.99818,1.1811,0.000696328,0.000696328,0.000696328
7,219.314,1.10021,1.03695,1.08366,0.78704,0.67027,0.72713,0.48837,1.24727,1.27784,1.25861,0.000692794,0.000692794,0.000692794
8,249.524,1.05701,0.99105,1.08378,0.79498,0.75407,0.79321,0.51522,1.1447,0.9568,1.17929,0.00068926,0.00068926,0.00068926
9,279.814,1.03454,0.9539,1.06917,0.74219,0.73281,0.74862,0.5016,1.16292,1.00995,1.21678,0.000685726,0.000685726,0.000685726
10,309.998,1.05873,0.90496,1.08188,0.77056,0.7669,0.78882,0.51422,1.21567,0.98453,1.24325,0.000682191,0.000682191,0.000682191
11,340.363,1.0288,0.85841,1.05252,0.77187,0.80366,0.82972,0.54114,1.15103,0.90853,1.1689,0.000678657,0.000678657,0.000678657
12,370.8,1.03592,0.8236,1.06125,0.73828,0.77887,0.78413,0.52245,1.15348,0.91902,1.25149,0.000675123,0.000675123,0.000675123
13,401.259,0.99864,0.77919,1.05422,0.76823,0.80141,0.7908,0.53084,1.2401,0.89013,1.2465,0.000671588,0.000671588,0.000671588
14,431.682,1.03625,0.79632,1.06452,0.80557,0.78115,0.79838,0.54005,1.19025,0.88784,1.27021,0.000668054,0.000668054,0.000668054
15,462.145,1.02289,0.77427,1.05382,0.7787,0.81057,0.79177,0.53457,1.1982,0.9112,1.24342,0.00066452,0.00066452,0.00066452
16,492.406,0.97512,0.73795,1.03719,0.79651,0.81284,0.8248,0.54371,1.1532,0.78475,1.21832,0.000660986,0.000660986,0.000660986
17,523.011,1.01021,0.75738,1.04627,0.79944,0.75554,0.79481,0.54102,1.16485,0.7889,1.22462,0.000657451,0.000657451,0.000657451
18,553.518,0.93593,0.68156,1.02601,0.77881,0.79832,0.80196,0.52968,1.18357,0.8972,1.23143,0.000653917,0.000653917,0.000653917
19,583.934,0.9248,0.66818,1.0218,0.80091,0.77277,0.79485,0.53795,1.15736,0.81927,1.22338,0.000650383,0.000650383,0.000650383
20,614.307,0.90115,0.64612,1.00573,0.82618,0.76413,0.81376,0.55642,1.11587,0.79261,1.19931,0.000646848,0.000646848,0.000646848
21,644.726,0.91369,0.64678,1.00892,0.80176,0.81015,0.83651,0.56966,1.11441,0.75179,1.17408,0.000643314,0.000643314,0.000643314
22,675.25,0.91315,0.65353,1.02701,0.83159,0.77135,0.81039,0.55025,1.19227,0.79943,1.27689,0.00063978,0.00063978,0.00063978
23,705.757,0.91956,0.6427,1.0173,0.84363,0.75299,0.79384,0.53994,1.1789,0.81639,1.24856,0.000636245,0.000636245,0.000636245
24,736.236,0.9067,0.63688,1.01369,0.81056,0.81357,0.83821,0.57727,1.14279,0.72745,1.24089,0.000632711,0.000632711,0.000632711
