                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9206,                 1.6584,                0.99743,                0.99454,                 0.6147,                0.98618,                0.78443,                0.76574,                 2.1297,                0.86095,             0.00023174,             0.00023174,             0.00023174
                      2,                0.80321,                0.93121,                0.92905,                0.96513,                0.98145,                0.98996,                0.79917,                 0.7387,                  1.392,                0.84246,             0.00046044,             0.00046044,             0.00046044
                      3,                0.77659,                0.78725,                0.91789,                 0.9598,                0.99157,                0.98863,                0.76894,                0.80934,                0.70882,                0.86713,             0.00067971,             0.00067971,             0.00067971
                      4,                0.75878,                0.74654,                 0.9158,                0.96388,                0.98991,                0.98497,                0.79463,                0.74807,                0.54295,                0.85867,             0.00067159,             0.00067159,             0.00067159
                      5,                0.76798,                0.68843,                0.92434,                0.97495,                0.98444,                0.99189,                0.80361,                0.73221,                0.49681,                0.85119,             0.00065745,             0.00065745,             0.00065745
                      6,                0.74797,                0.62024,                0.91205,                0.97636,                0.98145,                0.99308,                0.81006,                 0.7226,                0.47737,                0.84932,             0.00064331,             0.00064331,             0.00064331
                      7,                0.73255,                0.59528,                0.91369,                0.97022,                0.98884,                0.98939,                0.80453,                0.72848,                0.48055,                0.85379,             0.00062918,             0.00062918,             0.00062918
                      8,                0.73497,                  0.572,                0.91659,                0.97021,                0.98988,                0.98772,                0.80027,                0.71249,                0.47987,                0.85472,             0.00061504,             0.00061504,             0.00061504
                      9,                0.72205,                0.54574,                0.90746,                0.98214,                0.98988,                0.99254,                0.80839,                0.70435,                0.45022,                0.84728,              0.0006009,              0.0006009,              0.0006009
                     10,                0.72836,                0.52122,                0.91521,                 0.9766,                0.98552,                0.98857,                0.80589,                0.71294,                0.40206,                0.85442,             0.00058677,             0.00058677,             0.00058677
                     11,                0.71531,                0.51698,                 0.9129,                0.97678,                0.99295,                 0.9875,                0.76227,                0.82841,                0.47938,                0.88408,             0.00057263,             0.00057263,             0.00057263
                     12,                0.71537,                0.48375,                0.90438,                0.97809,                0.97873,                0.99077,                0.80804,                0.69229,                0.42128,                0.84387,             0.00055849,             0.00055849,             0.00055849
                     13,                0.69719,                 0.4762,                0.90258,                0.97748,                 0.9882,                0.99375,                0.80123,                0.72843,                0.38627,                0.86108,             0.00054435,             0.00054435,             0.00054435
                     14,                0.68978,                0.45363,                0.89647,                0.97988,                 0.9853,                0.99057,                0.79944,                0.71968,                0.36081,                0.86465,             0.00053022,             0.00053022,             0.00053022
                     15,                0.69599,                 0.4546,                0.90967,                0.97554,                0.98988,                0.98754,                0.80649,                0.68682,                0.35708,                0.85351,             0.00051608,             0.00051608,             0.00051608
                     16,                0.68403,                 0.4445,                 0.9052,                0.98815,                0.98413,                0.99379,                0.81809,                0.68442,                0.35585,                0.84855,             0.00050194,             0.00050194,             0.00050194
                     17,                0.67883,                0.44396,                0.89827,                0.97953,                0.99325,                0.99264,                0.81845,                0.68813,                0.34767,                0.85215,              0.0004878,              0.0004878,              0.0004878
                     18,                0.66697,                 0.4279,                0.89504,                0.97262,                0.99325,                0.99203,                0.79892,                0.72822,                0.41124,                0.87087,             0.00047367,             0.00047367,             0.00047367
                     19,                0.69202,                 0.4195,                0.90525,                0.98491,                0.97976,                0.99279,                0.81824,                0.68255,                0.33955,                0.84744,             0.00045953,             0.00045953,             0.00045953
                     20,                0.64334,                0.41231,                0.88314,                0.97345,                0.98945,                0.99331,                0.79477,                0.74837,                0.35966,                 0.8674,             0.00044539,             0.00044539,             0.00044539
                     21,                0.66675,                0.41043,                 0.8923,                0.98806,                0.97702,                0.99279,                0.79923,                0.72638,                 0.3556,                0.86531,             0.00043126,             0.00043126,             0.00043126
                     22,                0.66352,                 0.4006,                0.88897,                0.98187,                 0.9882,                0.99317,                0.80607,                0.71961,                0.36474,                0.86143,             0.00041712,             0.00041712,             0.00041712
                     23,                0.65607,                0.39706,                0.89553,                0.98042,                0.98482,                0.98933,                0.80845,                0.68984,                0.34179,                0.85671,             0.00040298,             0.00040298,             0.00040298
                     24,                0.66307,                0.39255,                0.88634,                0.97378,                0.98651,                0.99247,                0.83398,                0.67108,                0.32423,                0.85165,             0.00038884,             0.00038884,             0.00038884
                     25,                0.68785,                0.38839,                0.90329,                0.98275,                 0.9882,                0.99387,                0.80584,                0.71032,                0.33336,                0.86442,             0.00037471,             0.00037471,             0.00037471
                     26,                0.62914,                0.37903,                0.88556,                0.98306,                 0.9786,                0.99388,                0.82916,                0.66192,                0.31719,                0.84502,             0.00036057,             0.00036057,             0.00036057
                     27,                0.63509,                0.37172,                0.89345,                0.98313,                0.98285,                0.99394,                0.82835,                0.66727,                0.31791,                0.84617,             0.00034643,             0.00034643,             0.00034643
                     28,                0.63868,                0.36997,                0.89237,                0.97891,                0.99663,                0.99322,                 0.8201,                0.68091,                0.31181,                0.85768,              0.0003323,              0.0003323,              0.0003323
                     29,                0.63764,                0.36616,                0.88691,                0.98342,                0.98314,                 0.9929,                0.83323,                0.66967,                0.30959,                0.85515,             0.00031816,             0.00031816,             0.00031816
                     30,                0.62631,                0.35864,                0.88991,                0.97331,                0.98403,                0.99331,                0.83641,                0.66126,                0.33236,                0.84616,             0.00030402,             0.00030402,             0.00030402
                     31,                0.63251,                 0.3537,                0.88659,                0.98145,                0.98142,                0.99297,                0.81772,                0.68231,                0.31278,                0.85372,             0.00028988,             0.00028988,             0.00028988
                     32,                0.62902,                0.36048,                0.88561,                0.97507,                0.98926,                0.99219,                0.83564,                0.67152,                0.29604,                0.84643,             0.00027575,             0.00027575,             0.00027575
                     33,                0.63569,                0.35813,                0.89111,                0.98569,                0.98482,                0.99281,                0.82801,                0.67667,                0.29583,                0.85251,             0.00026161,             0.00026161,             0.00026161
                     34,                0.62972,                0.35628,                0.88748,                0.98465,                0.98988,                0.99264,                0.83759,                0.66017,                0.29544,                0.84156,             0.00024747,             0.00024747,             0.00024747
                     35,                0.60925,                0.33938,                0.88303,                0.98019,                0.99157,                0.99305,                0.83478,                 0.6626,                0.29604,                0.84898,             0.00023334,             0.00023334,             0.00023334
